学問,現代文,古文,漢文,数学,化学,物理,倫理,日本史,世界史,現代社会,政治経済,英語,家庭科,地理,リスニング,体育,道徳,保健,美術,音楽,地学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
虫,カブトムシ,クワガタムシ,アメンボ,ゴキブリ,コガネムシ,カマキリ,アリ,てんとう虫,蜂,トンボ,カメムシ,せみ,いなご,アゲハ蝶,オオムラサキ,モンシロチョウ,バッタ,カマドウマ,マダニ,ムカデ,芋虫,毛虫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
花,チューリップ,パンジー,たんぽぽ,あさがお,ふきのとう,ラベンダー,桜,梅,すずらん,ひまわり,薔薇,アジサイ,コスモス,ユリ,カンパニュラ,彼岸花,カーネーション,ハイビスカス,蓮,ラフレシア,サボテン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上へ下へ,階段,梯子,エスカレーター,エレベーター,登り棒,ロッククライミング,登山,垂直飛び,木登り,懸垂,鳥人間コンテスト,幽体離脱,たかいたかい,ヘリコプター,飛行機,バンジージャンプ,トランポリン,ヨーヨー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
魚,鰯,鯵,鮎,鮑,鰻,鰹,鯨,鯉,鮭,鯖,鮫,鯱,鯛,蛸,鱈,鯰,鰤,鮪,鰐,鮨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
形,四角形,円形,三角形,六角形,星型,ハートマーク,ダイヤマーク,スペードマーク,クローバーマーク,雷マーク,五角形,三日月マーク,六芒星,矢印,太陽マーク,放射線マーク,非常口マーク,男子トイレマーク,女子トイレマーク,若葉マーク,リサイクルマーク,車椅子マーク,ベルマーク,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
飛ぶもの,紙飛行機,ミサイル,飛行機,ハングライダー,風船,気球,飛行船,人工衛星,ドローン,バンジージャンプ,ブーメラン,ペットボトルロケット,タケトンボ,凧,タケコプター,ヘリコプター,パラシュート,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海鮮料理,さんまの塩焼き,海老の天ぷら,寿司,茹で蟹,いか飯,フグの刺身,鯉の煮つけ,鰤の照り焼き,イクラ丼,鮭の塩焼き,うな重,マグロの竜田揚げ,フィレオフィッシュ,うに丼,鉄火丼,あさりの味噌汁,タコ焼き,海老ラーメン,さんま缶,いわし缶,ツナマヨ,おかか,鰹のたたき,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
おにぎりの具,焼肉,いくら,ツナマヨ,鮭,梅,おかか,辛子明太子,キムチ,ゴマ塩,しらす,海老の天ぷら,なめたけ,納豆,塩昆布,鶏五目,いなご,たらこ,塩,からあげ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
パン,サンドイッチ,食パン,カレーパン,こしあんパン,粒あんパン,クロワッサン,バターロール,メロンパン,焼きそばパン,コロッケパン,くるみパン,アメリカンドッグ,クリームパン,フランスパン,ピザパン,揚げパン,チョコチップメロンパン,チョココロネ,ハンバーガー,チーズバーガー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
球,きんのたま,鉄球,水晶玉,ビリヤードの玉,野球ボール,バスケットボールのボール,バレーボールのボール,サッカーボールのボール,ボウリングの玉,目玉,ミラーボール,モンスターボール,パチンコ玉,泥団子,シャボン玉,ピンポン玉,大玉転がしの玉,テニスボール,スイカ,地球,ビーチボール,バランスボール,ガラス玉,スーパーボール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
干支+星座,ネズミ,牛,虎,うさぎ,竜,蛇,馬,羊,猿,鳥,犬,猪,雄羊,雄牛,双子,蟹,獅子,乙女,天秤,さそり,射手,ヤギ,水瓶,魚,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
飲み物,コーヒー,紅茶,ウーロン茶,緑茶,牛乳,ココア,水,青汁,炭酸水,豆乳,ワイン,日本酒,ビール,梅酒,水素水,オレンジジュース,リンゴジュース,ぶどうジュース,ジンジャーエール,梅ソーダ,バナナミルク,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
飲み物（商品名,コカコーラ,ペプシ,ファンタ,CCレモン,ポカリスウェット,リアルゴールド,アクエリアス,お～いお茶,スプライト,カルピス,キリンレモン,ドクターペッパー,レモンスカッシュ,ミニッツメイド,午後の紅茶,爽健美茶,十六茶,綾鷹,ウコンの力,養命酒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
遊園地,ジェットコースター,お化け屋敷,ミラーハウス,メリーゴーランド,観覧車,巨大迷路,ゴーカート,コーヒーカップ（アトラクション）,ウォータースライダー,バンジージャンプ,イルカショー,パレード,バイキング(船が横に揺れるアトラクション),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
球技,卓球,野球,サッカー,バスケットボール,バレーボール,ゴルフ,ビリヤード,テニス,ハンドボール,お手玉,ゲートボール,玉入れ,ドッジボール,球拾い,ボウリング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
遊戯,おにごっこ,かくれんぼ,はないちもんめ,ハンカチ落とし,椅子取りゲーム,缶蹴り,だるまさんがころんだ,かるた,かげふみ,おままごと,竹馬,ぶらんこ,滑り台,あやとり,かごめかごめ,ザリガニ釣り,にらめっこ,ベーゴマ,指相撲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
果物,スイカ,メロン,いちご,バナナ,さくらんぼ,パイナップル,オレンジ,みかん,キウイ,ぶどう,りんご,レモン,もも,すもも,柿,グレープフルーツ,ドラゴンフルーツ,ブルーベリー,パパイヤ,ライチ,マンゴー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
野菜,ナス,キャベツ,レタス,セロリ,トマト,アロエ,パセリ,ブロッコリー,カリフラワー,ゴーヤ,ほうれん草,かぼちゃ,キュウリ,ピーマン,にんじん,玉ねぎ,長ネギ,もやし,大根,カブ,ごぼう,じゃがいも,さつまいも,とうもろこし,白菜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
冷たい食品,かき氷,冷製パスタ,雪,冷やし中華,冷ややっこ,ガリガリ君,ハーゲンダッツ,そうめん,スイカ,ソフトクリーム,クリームソーダ,氷,ざる蕎麦,揚げアイス,あずきバー,雪見大福,アイスの実,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
乗り物,自転車,一輪車,自動車,三輪車,消防車,救急車,クレーン車,タンクローリー,ロードローラー,ショベルカー,電車,リニアカー,トラック,リヤカー,ベビーカー,ブルドーザー,戦車,バイク,セグウェイ,パトカー,黒塗りの高級車,パパのお馬さん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
飯系,カレーライス,ハヤシライス,クリームシチュー,ビーフシチュー,親子丼,牛丼,うな重,たまごかけご飯,肉じゃが,中華丼,海鮮丼,豚丼,かつ丼,天丼,白米,うに丼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
粉もの,タコ焼き,お好み焼き,ホットケーキ,ドーナツ,うどん,ラーメン,蕎麦,パスタ,ピザ,饅頭,クレープ,カステラ,たい焼き,フライドポテト,もんじゃ焼き,肉まん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
夏祭り（食品,焼きそば,タコ焼き,フランクフルト,わたあめ,ベビーカステラ,リンゴ飴,アメリカンドッグ,あんず飴,お好み焼き,今川焼（おやき,いか焼き,苺飴,かき氷,カルメ焼き,飴細工,牛串ステーキ,クレープ,じゃがバター,ソフトクリーム,ソースせんべい,たい焼き,チョコバナナ,ラムネ,焼きトウモロコシ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
夏祭り（食品以外,輪投げ,金魚すくい,かたぬき,亀すくい,お面屋,射的,スーパーボールすくい,ひよこ釣り,ヨーヨー釣り,くじ引き,お化け屋敷,アイドルグッツ屋,バルーンアート,的当て,ボウリング,カラーひよこ,ザリガニ釣り,スーパーボールすくい,宝石すくい,カニ釣り,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
スイーツ,ケーキ,マフィン,マドレーヌ,バウムクーヘン,パイ,シュークリーム,ホットケーキ,パン,スコーン,タルト,クレープ,プリン,ゼリー,グミ,ババロア,かき氷,ソフトクリーム,ジェラート,チョコレート,マカロン,マシュマロ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
和菓子,あんみつ,だんご,まんじゅう,だいふく,どらやき,たいやき,今川焼き,カステラ,ようかん,せんべい,かりんとう,こんぺいとう,水あめ,生八つ橋,ういろう,桜餅,おはぎ,お汁粉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
